Gloss,Count
JAAR-A,22
FILM,22
VERVELEN-A,22
OVER-C,22
VERWARD-A,22
VREEMD-B,22
BEDANKEN-A,22
OPRICHTEN,22
MOE-A,22
BUITENLAND,22
BE+5R,22
DOOR-ELKAAR-B,21
PAS-B,21
JAMMER-B,21
NOG-B,21
LIEF-B,21
MEER-C,21
PERSOON-A.PL,21
ZELFDE-C,21
WILLEN-B,21
HIJGEN,21
HEBBEN-B,21
FEEST-B,21
KLAP,21
NA-B,21
VOORDEEL-A,21
MANIER-A,21
EVEN-DENKEN-B,20
INTERESSANT,20
STANDAARDISATIE-A,20
VERBAASD-B,20
IMPLANTEREN,20
TELHAND,20
ONDER,20
WEGGOOIEN-A,20
GELUID,20
ORAAL-B,20
PAARD-B,20
MIDDEN,20
DRAW_5,20
